Qf7#,Queen,f7,Black,Not Capture,Not Promotion
Rg8#,Rook,g8,White,Not Capture,Not Promotion
Rc8#,Rook,c8,White,Not Capture,Not Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
Qe1#,Queen,e1,White,Not Capture,Not Promotion
Qxf7#,Queen,f7,White,Capture,Not Promotion
Qf3#,Queen,f3,Black,Not Capture,Not Promotion
Qb5#,Queen,b5,White,Not Capture,Not Promotion
Qbb7#,Queen,b7,White,Not Capture,Not Promotion
Qb2#,Queen,b2,Black,Not Capture,Not Promotion
Re1#,Rook,e1,Black,Not Capture,Not Promotion
Qg4#,Queen,g4,White,Not Capture,Not Promotion
Qf2#,Queen,f2,Black,Not Capture,Not Promotion
Qf8#,Queen,f8,White,Not Capture,Not Promotion
Rf1#,Rook,f1,Black,Not Capture,Not Promotion
Rxf8#,Rook,f8,White,Capture,Not Promotion
Qxf5#,Queen,f5,White,Capture,Not Promotion
Qg8#,Queen,g8,White,Not Capture,Not Promotion
Ra1#,Rook,a1,Black,Not Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Qg6#,Queen,g6,White,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
f6#,Pawn,f6,Black,Not Capture,Not Promotion
Re1#,Rook,e1,Black,Not Capture,Not Promotion
Rg8#,Rook,g8,White,Not Capture,Not Promotion
Qe8#,Queen,e8,White,Not Capture,Not Promotion
Qb8#,Queen,b8,White,Not Capture,Not Promotion
Ng3#,Knight,g3,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,Black,Not Capture,Not Promotion
Qe2#,Queen,e2,White,Not Capture,Not Promotion
Qeb4#,Queen,b4,White,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Rc8#,Rook,c8,White,Not Capture,Not Promotion
Qb2#,Queen,b2,White,Not Capture,Not Promotion
Qg4#,Queen,g4,Black,Not Capture,Not Promotion
Qe6#,Queen,e6,White,Not Capture,Not Promotion
Qd3#,Queen,d3,Black,Not Capture,Not Promotion
Qxh5#,Queen,h5,White,Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
g8=Q#,Pawn,g8,White,Not Capture,Promotion
Qe7#,Queen,e7,White,Not Capture,Not Promotion
Qh6#,Queen,h6,White,Not Capture,Not Promotion
Qxg7#,Queen,g7,White,Capture,Not Promotion
Qxf6#,Queen,f6,White,Capture,Not Promotion
Rc1#,Rook,c1,Black,Not Capture,Not Promotion
Rh2#,Rook,h2,Black,Not Capture,Not Promotion
Qbb8#,Queen,b8,Black,Not Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qe7#,Queen,e7,White,Not Capture,Not Promotion
Qxf2#,Queen,f2,Black,Capture,Not Promotion
Qef7#,Queen,f7,White,Not Capture,Not Promotion
Rxd8#,Rook,d8,White,Capture,Not Promotion
Nf3#,Knight,f3,Black,Not Capture,Not Promotion
Ra6#,Rook,a6,Black,Not Capture,Not Promotion
Qa2#,Queen,a2,Black,Not Capture,Not Promotion
g8=Q#,Pawn,g8,White,Not Capture,Promotion
Qg3#,Queen,g3,Black,Not Capture,Not Promotion
Rd8#,Rook,d8,White,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qh1#,Queen,h1,White,Not Capture,Not Promotion
Rh8#,Rook,h8,Black,Not Capture,Not Promotion
Qf2#,Queen,f2,Black,Not Capture,Not Promotion
Qd6#,Queen,d6,White,Not Capture,Not Promotion
Bf3#,Bishop,f3,White,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Qf3#,Queen,f3,White,Not Capture,Not Promotion
Ra8#,Rook,a8,White,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qxg6#,Queen,g6,Black,Capture,Not Promotion
Qh4#,Queen,h4,White,Not Capture,Not Promotion
Qa5#,Queen,a5,Black,Not Capture,Not Promotion
Qh7#,Queen,h7,White,Not Capture,Not Promotion
Qe5#,Queen,e5,White,Not Capture,Not Promotion
Qg2#,Queen,g2,White,Not Capture,Not Promotion
Rc8#,Rook,c8,White,Not Capture,Not Promotion
Qxg3#,Queen,g3,Black,Capture,Not Promotion
Qgc1#,Queen,c1,Black,Not Capture,Not Promotion
Re8#,Rook,e8,White,Not Capture,Not Promotion
Qf7#,Queen,f7,White,Not Capture,Not Promotion
Rd1#,Rook,d1,White,Not Capture,Not Promotion
Qe2#,Queen,e2,Black,Not Capture,Not Promotion
Qd7#,Queen,d7,White,Not Capture,Not Promotion
Qh2#,Queen,h2,Black,Not Capture,Not Promotion
Ra8#,Rook,a8,White,Not Capture,Not Promotion
Rh6#,Rook,h6,White,Not Capture,Not Promotion
Qe8#,Queen,e8,White,Not Capture,Not Promotion
Rb7#,Rook,b7,White,Not Capture,Not Promotion
Rg8#,Rook,g8,White,Not Capture,Not Promotion
Rh2#,Rook,h2,Black,Not Capture,Not Promotion
Ng3#,Knight,g3,Black,Not Capture,Not Promotion
Rg7#,Rook,g7,White,Not Capture,Not Promotion
Qxd8#,Queen,d8,White,Capture,Not Promotion
Qxg3#,Queen,g3,Black,Capture,Not Promotion
Qxg7#,Queen,g7,White,Capture,Not Promotion
Qxf2#,Queen,f2,Black,Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Rh5#,Rook,h5,Black,Not Capture,Not Promotion
f8=Q#,Pawn,f8,White,Not Capture,Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qd3#,Queen,d3,Black,Not Capture,Not Promotion
Qh5#,Queen,h5,White,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
h4#,Pawn,h4,Black,Not Capture,Not Promotion
Qg3#,Queen,g3,Black,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qh8#,Queen,h8,White,Not Capture,Not Promotion
Qh5#,Queen,h5,White,Not Capture,Not Promotion
Rh5#,Rook,h5,White,Not Capture,Not Promotion
Qd7#,Queen,d7,White,Not Capture,Not Promotion
Rh6#,Rook,h6,White,Not Capture,Not Promotion
Rf8#,Rook,f8,White,Not Capture,Not Promotion
Rd3#,Rook,d3,Black,Not Capture,Not Promotion
Qe7#,Queen,e7,White,Not Capture,Not Promotion
Nh3#,Knight,h3,Black,Not Capture,Not Promotion
Rxg7#,Rook,g7,White,Capture,Not Promotion
Qd1#,Queen,d1,Black,Not Capture,Not Promotion
Rxf1#,Rook,f1,Black,Capture,Not Promotion
Rh7#,Rook,h7,White,Not Capture,Not Promotion
Qd1#,Queen,d1,Black,Not Capture,Not Promotion
Qxf7#,Queen,f7,White,Capture,Not Promotion
exf1=Q#,Pawn,f1,Black,Capture,Promotion
Qc1#,Queen,c1,White,Not Capture,Not Promotion
Ra8#,Rook,a8,White,Not Capture,Not Promotion
Qe1#,Queen,e1,Black,Not Capture,Not Promotion
Rg1#,Rook,g1,White,Not Capture,Not Promotion
Qdc2#,Queen,c2,White,Not Capture,Not Promotion
Qh5#,Queen,h5,White,Not Capture,Not Promotion
Be4#,Bishop,e4,White,Not Capture,Not Promotion
Qc8#,Queen,c8,Black,Not Capture,Not Promotion
Qf2#,Queen,f2,Black,Not Capture,Not Promotion
Qg5#,Queen,g5,Black,Not Capture,Not Promotion
Qc8#,Queen,c8,White,Not Capture,Not Promotion
Re1#,Rook,e1,Black,Not Capture,Not Promotion
Ra7#,Rook,a7,White,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Qxf2#,Queen,f2,Black,Capture,Not Promotion
Qg8#,Queen,g8,White,Not Capture,Not Promotion
Qxf6#,Queen,f6,White,Capture,Not Promotion
Qxh3#,Queen,h3,Black,Capture,Not Promotion
Bxf5#,Bishop,f5,White,Capture,Not Promotion
Qh3#,Queen,h3,White,Not Capture,Not Promotion
Qg4#,Queen,g4,White,Not Capture,Not Promotion
Re8#,Rook,e8,White,Not Capture,Not Promotion
Rxe8#,Rook,e8,White,Capture,Not Promotion
Qd1#,Queen,d1,Black,Not Capture,Not Promotion
Qc8#,Queen,c8,White,Not Capture,Not Promotion
Rf1#,Rook,f1,Black,Not Capture,Not Promotion
Qh2#,Queen,h2,Black,Not Capture,Not Promotion
Qe1#,Queen,e1,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Rg2#,Rook,g2,Black,Not Capture,Not Promotion
Qd2#,Queen,d2,Black,Not Capture,Not Promotion
Qc2#,Queen,c2,White,Not Capture,Not Promotion
Qf4#,Queen,f4,Black,Not Capture,Not Promotion
Qf7#,Queen,f7,White,Not Capture,Not Promotion
Qa8#,Queen,a8,White,Not Capture,Not Promotion
Qa5#,Queen,a5,Black,Not Capture,Not Promotion
Rd8#,Rook,d8,White,Not Capture,Not Promotion
h8=Q#,Pawn,h8,White,Not Capture,Promotion
Qxf2#,Queen,f2,Black,Capture,Not Promotion
Rg1#,Rook,g1,Black,Not Capture,Not Promotion
dxc1=Q#,Pawn,c1,Black,Capture,Promotion
Qgg1#,Queen,g1,White,Not Capture,Not Promotion
