1339,Qe6#,Queen,e6,White,Not Capture,Not Promotion
1350,Qf3#,Queen,f3,Black,Not Capture,Not Promotion
1351,Rxd5#,Rook,d5,White,Capture,Not Promotion
1356,Nc3#,Knight,c3,Black,Not Capture,Not Promotion
1361,Qg7#,Queen,g7,White,Not Capture,Not Promotion
1368,a8=Q#,Pawn,a8,White,Not Capture,Promotion
1372,Rf8#,Rook,f8,White,Not Capture,Not Promotion
1388,Qe2#,Queen,e2,Black,Not Capture,Not Promotion
1393,e1=Q#,Pawn,e1,Black,Not Capture,Promotion
1396,Qg1#,Queen,g1,Black,Not Capture,Not Promotion
1410,Qxc2#,Queen,c2,Black,Capture,Not Promotion
1418,Rh7#,Rook,h7,White,Not Capture,Not Promotion
1426,R7f4#,Rook,f4,Black,Not Capture,Not Promotion
1431,Qh8#,Queen,h8,White,Not Capture,Not Promotion
1441,Qg3#,Queen,g3,Black,Not Capture,Not Promotion
1447,Qxg3#,Queen,g3,Black,Capture,Not Promotion
1449,Rxh2#,Rook,h2,Black,Capture,Not Promotion
1456,Rc2#,Rook,c2,Black,Not Capture,Not Promotion
1459,Qgg1#,Queen,g1,White,Not Capture,Not Promotion
1463,Qg2#,Queen,g2,White,Not Capture,Not Promotion
1476,Ra3#,Rook,a3,White,Not Capture,Not Promotion
1487,Qb2#,Queen,b2,White,Not Capture,Not Promotion
1489,Rd7#,Rook,d7,White,Not Capture,Not Promotion
1495,Rf8#,Rook,f8,White,Not Capture,Not Promotion
1505,Qa3#,Queen,a3,Black,Not Capture,Not Promotion
1506,Rxd1#,Rook,d1,Black,Capture,Not Promotion
1508,Qf7#,Queen,f7,Black,Not Capture,Not Promotion
1512,Rg8#,Rook,g8,White,Not Capture,Not Promotion
1513,Rc8#,Rook,c8,White,Not Capture,Not Promotion
1519,Qg1#,Queen,g1,Black,Not Capture,Not Promotion
1524,Qe1#,Queen,e1,White,Not Capture,Not Promotion
1530,Qxf7#,Queen,f7,White,Capture,Not Promotion
1538,Qf3#,Queen,f3,Black,Not Capture,Not Promotion
