1143,Na7#,Knight,a7,White,Not Capture,Not Promotion,2492,2518
1145,Bg5#,Bishop,g5,Black,Not Capture,Not Promotion,2552,2597
1176,Nf2#,Knight,f2,Black,Not Capture,Not Promotion,2515,2554
1180,Qh7#,Queen,h7,White,Not Capture,Not Promotion,2413,2594
1182,Qf5#,Queen,f5,White,Not Capture,Not Promotion,2563,2667
1197,Rc1#,Rook,c1,Black,Not Capture,Not Promotion,2389,2832
1199,Qee1#,Queen,e1,Black,Not Capture,Not Promotion,2556,2671
1201,Rh1#,Rook,h1,Black,Not Capture,Not Promotion,2342,2817
1202,Re2#,Rook,e2,Black,Not Capture,Not Promotion,2478,2547
1211,Qxf6#,Queen,f6,White,Capture,Not Promotion,2598,2600
1218,Rh8#,Rook,h8,White,Not Capture,Not Promotion,2452,2502
1222,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2321,2832
1225,Qb4#,Queen,b4,Black,Not Capture,Not Promotion,2449,2531
1236,Qxf7#,Queen,f7,White,Capture,Not Promotion,2452,2525
1237,Rf1#,Rook,f1,Black,Not Capture,Not Promotion,2515,2548
1240,Qb7#,Queen,b7,Black,Not Capture,Not Promotion,2600,2833
1242,Qh4#,Queen,h4,Black,Not Capture,Not Promotion,2570,2621
1244,Qh3#,Queen,h3,Black,Not Capture,Not Promotion,2565,2629
1245,Qf8#,Queen,f8,White,Not Capture,Not Promotion,2598,2629
1248,Qf7#,Queen,f7,White,Not Capture,Not Promotion,2412,2818
1252,Qe2#,Queen,e2,Black,Not Capture,Not Promotion,2497,2633
1259,Qg4#,Queen,g4,Black,Not Capture,Not Promotion,2345,2807
1261,Qef2#,Queen,f2,White,Not Capture,Not Promotion,2578,2626
1281,Qxd1#,Queen,d1,Black,Capture,Not Promotion,2512,2554
1284,Rh4#,Rook,h4,White,Not Capture,Not Promotion,2485,2836
1288,Qd2#,Queen,d2,Black,Not Capture,Not Promotion,2479,2513
1289,Qg3#,Queen,g3,Black,Not Capture,Not Promotion,2374,2520
1294,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2531,2604
1295,Qg8#,Queen,g8,White,Not Capture,Not Promotion,2586,2751
1299,Qc7#,Queen,c7,White,Not Capture,Not Promotion,2490,2507
1301,Rf8#,Rook,f8,White,Not Capture,Not Promotion,2512,2545
1303,Rb1#,Rook,b1,Black,Not Capture,Not Promotion,2643,2706
1307,Qf1#,Queen,f1,Black,Not Capture,Not Promotion,2474,2611
1321,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2414,2507
1322,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2491,2567
1333,Qad1#,Queen,d1,Black,Not Capture,Not Promotion,2588,2636
1334,Rxa8#,Rook,a8,Black,Capture,Not Promotion,2461,2662
1339,Qe6#,Queen,e6,White,Not Capture,Not Promotion,2481,2603
1350,Qf3#,Queen,f3,Black,Not Capture,Not Promotion,2461,2517
1351,Rxd5#,Rook,d5,White,Capture,Not Promotion,2422,2576
1356,Nc3#,Knight,c3,Black,Not Capture,Not Promotion,2503,2588
1361,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2549,2557
1368,a8=Q#,Pawn,a8,White,Not Capture,Promotion,2338,2523
1372,Rf8#,Rook,f8,White,Not Capture,Not Promotion,2508,2511
1388,Qe2#,Queen,e2,Black,Not Capture,Not Promotion,2505,2732
1393,e1=Q#,Pawn,e1,Black,Not Capture,Promotion,2410,2591
1396,Qg1#,Queen,g1,Black,Not Capture,Not Promotion,2518,2742
1410,Qxc2#,Queen,c2,Black,Capture,Not Promotion,2771,2857
1418,Rh7#,Rook,h7,White,Not Capture,Not Promotion,2484,2503
1426,R7f4#,Rook,f4,Black,Not Capture,Not Promotion,2412,2507
1431,Qh8#,Queen,h8,White,Not Capture,Not Promotion,2544,2702
1441,Qg3#,Queen,g3,Black,Not Capture,Not Promotion,2420,2586
1447,Qxg3#,Queen,g3,Black,Capture,Not Promotion,2489,2596
1449,Rxh2#,Rook,h2,Black,Capture,Not Promotion,2599,2706
1456,Rc2#,Rook,c2,Black,Not Capture,Not Promotion,2526,2535
1459,Qgg1#,Queen,g1,White,Not Capture,Not Promotion,2535,2582
1463,Qg2#,Queen,g2,White,Not Capture,Not Promotion,2399,2526
1476,Ra3#,Rook,a3,White,Not Capture,Not Promotion,2572,2732
1487,Qb2#,Queen,b2,White,Not Capture,Not Promotion,2366,2634
1489,Rd7#,Rook,d7,White,Not Capture,Not Promotion,2415,2514
1495,Rf8#,Rook,f8,White,Not Capture,Not Promotion,2569,2724
1505,Qa3#,Queen,a3,Black,Not Capture,Not Promotion,2318,2502
1506,Rxd1#,Rook,d1,Black,Capture,Not Promotion,2526,2571
1508,Qf7#,Queen,f7,Black,Not Capture,Not Promotion,2420,2597
1512,Rg8#,Rook,g8,White,Not Capture,Not Promotion,2418,2640
1513,Rc8#,Rook,c8,White,Not Capture,Not Promotion,2481,2604
1519,Qg1#,Queen,g1,Black,Not Capture,Not Promotion,2527,2530
1524,Qe1#,Queen,e1,White,Not Capture,Not Promotion,2557,2609
1530,Qxf7#,Queen,f7,White,Capture,Not Promotion,2388,2514
1538,Qf3#,Queen,f3,Black,Not Capture,Not Promotion,2411,2589
1539,Qb5#,Queen,b5,White,Not Capture,Not Promotion,2417,2814
1565,Qbb7#,Queen,b7,White,Not Capture,Not Promotion,2558,2575
